model,n_rows,strategy,n_cores,median_wall_time_sec,median_energy_joules,mean_wall_time_sec,mean_energy_joules,std_wall_time_sec,std_energy_joules,repeats,median_wall_time_min,energy_per_second
RandomForest,10000,serial,8,1198.1027246000012,27222.072072998548,1198.0148294999963,27254.648266332002,0.27341964970934957,69.88863328173882,3,19.968378743333353,22.720983363164382
RandomForest,10000,serial,4,1198.224889599951,27254.70905699876,1198.133400899979,27249.089600667125,0.5773643489661829,19.382852060224852,3,19.97041482666585,22.74590462404619
RandomForest,10000,joblib,1,1198.5733687001048,26883.475148999005,1198.6488901667374,26870.34539033257,0.3744001890966413,24.517063897123144,3,19.976222811668414,22.429561552961154
RandomForest,10000,multiprocessing,1,1198.7968380000093,27333.284883000542,1198.7861807000202,27347.075705000883,0.14112377774387896,29.364258105261676,3,19.979947300000156,22.800598080156373
RandomForest,10000,threading,1,1198.9193369999994,26963.04467500188,1198.995609033329,26995.009819334402,0.5762943154991722,108.83538224555353,3,19.98198894999999,22.48945683240898
RandomForest,10000,serial,2,1199.5621309999842,27590.711060000074,1444.3253149000036,29011.34383333324,424.42895362920666,2551.298156196356,3,19.99270218333307,23.000651943721987
RandomForest,10000,threading,2,1200.0037827999913,26951.26733799894,1200.6853357666598,27011.511137666155,1.3508136309523173,133.9555391352099,3,20.000063046666522,22.45931864907379
RandomForest,10000,threading,4,1201.4711661000038,26973.052352000883,1201.7277407333215,26975.803663000508,0.6241568114786564,21.66077523273878,3,20.024519435000062,22.45002053570364
RandomForest,10000,threading,8,1203.7107001999975,26914.316558999075,1204.0650336999872,26914.294594999792,1.1204008698544554,63.76958383441839,3,20.061845003333293,22.359456100645478
RandomForest,10000,serial,1,1317.0943897999823,27597.0979719997,1407.422963533337,28338.83913333279,259.6417202054184,1525.52353235762,3,21.951573163333038,20.953014594641676
RandomForest,10000,ray,2,1920.8246760000477,27402.42486400344,1775.4032924999872,26986.43431033529,918.9718077257885,8185.155664934041,3,32.0137446000008,14.265968782255877
RandomForest,10000,ray,1,3917.688133999938,49301.99174800136,3655.794491400011,48217.52897300094,801.6848323616946,6237.091808588502,3,65.2948022333323,12.58446054450595
RandomForest,48842,joblib,8,1736.5053782000032,42921.39286000074,1733.7114346000017,43008.84609266631,4.9354016786365005,181.4818040684667,3,28.941756303333385,24.717109085196995
RandomForest,48842,multiprocessing,8,1976.952728300006,43422.313353999445,2216.66405256663,45147.2008143325,416.66535646623953,3014.7732243943206,3,32.94921213833343,21.96426486704038
RandomForest,48842,ray,8,2024.7171390999863,44440.21228300015,2033.2889400333322,44649.794698001344,17.16417582895064,372.92718594028685,3,33.745285651666435,21.948849755257378
RandomForest,48842,joblib,4,2148.1329492000223,53910.44381599941,2199.1301959000025,54731.42300399973,100.44316134834732,1710.66084017215,3,35.80221582000037,25.09641865326631
RandomForest,48842,multiprocessing,4,2465.530812600045,54141.93797199865,2469.806536266658,54239.44771633282,8.849285823076153,199.50136166567216,3,41.09218021000075,21.95954627510935
RandomForest,48842,joblib,2,3400.897804200009,84489.0937850017,6518.161617366674,112982.60073500076,5467.4998612011,49466.697542689995,3,56.681630070000146,24.843173376353786
