strategy,model,feature_count,n_cores,n_rows,background_size,repeat_idx,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,runs,mean_elapsed_minutes,mean_energy_kwh,energy_delay_product
joblib,LogisticRegression,30,4,100,50,2,7.52473150001606,0.0,175.10429800008387,0.0,1,0.12541219166693432,4.8640082777801075e-05,1317.6128269494302
threading,LogisticRegression,15,1,100,50,0,8.737254699983168,0.0,151.0807180023721,0.0,1,0.14562091166638613,4.196686611177003e-05,1320.0307134430573
multiprocessing,LogisticRegression,15,4,100,100,1,7.866050900018308,0.0,170.04750699944893,0.0,1,0.13110084833363847,4.7235418610958035e-05,1337.602345478885
joblib,LogisticRegression,30,1,100,25,0,9.43686010001693,0.0,142.30245600078825,0.0,1,0.15728100166694883,3.952846000021896e-05,1342.8883691682533
joblib,LogisticRegression,30,4,100,50,0,6.46079219999956,0.0,209.2383489969596,0.0,1,0.10767986999999266,5.812176361026655e-05,1351.8454931403421
multiprocessing,LogisticRegression,15,4,100,50,2,7.693782499991357,0.0,176.1920380000559,0.0,1,0.12822970833318928,4.8942232777793304e-05,1355.5832186026423
multiprocessing,LogisticRegression,15,4,100,100,2,7.801492300000973,0.0,175.62832399947715,0.0,1,0.1300248716666829,4.878564555541032e-05,1370.1630173439971
joblib,LogisticRegression,30,4,100,50,1,7.944562499993481,0.0,173.3339700021874,0.0,1,0.13240937499989133,4.814832500060762e-05,1377.062558054373
multiprocessing,LogisticRegression,30,4,100,50,1,7.942950299999211,0.0,175.8594099995625,0.0,1,0.13238250499998686,4.8849836110989586e-05,1396.8425534137093
joblib,LogisticRegression,30,2,100,50,2,7.790592000004835,0.0,182.2041690023979,0.0,1,0.1298432000000806,5.0612269167332746e-05,1419.47834139761
joblib,LogisticRegression,30,2,100,25,0,7.704013999958988,0.0,185.84040399916708,0.0,1,0.1284002333326498,5.1622334444213075e-05,1431.7170741676175
serial,LogisticRegression,15,1,100,50,0,9.07484909996856,0.0,158.93280199999057,0.0,1,0.151247484999476,4.4148000555552937e-05,1442.2911951850958
multiprocessing,LogisticRegression,30,4,100,50,2,8.099973000003956,0.0,178.38734900094133,0.0,1,0.13499955000006594,4.955204138915037e-05,1444.9327104499075
multiprocessing,LogisticRegression,15,8,100,25,0,6.418461299967021,0.0,231.5342279979912,0.0,1,0.10697435499945035,6.431506333277533e-05,1486.0934820228472
joblib,LogisticRegression,30,2,100,50,1,8.222504400007892,0.0,182.8582360006104,0.0,1,0.13704174000013153,5.0793954444614e-05,1503.5526500927006
joblib,LogisticRegression,15,8,100,50,0,6.468650399998296,0.0,235.5561450010424,0.0,1,0.1078108399999716,6.543226250028956e-05,1523.7303515830497
multiprocessing,LogisticRegression,30,8,100,25,0,6.565516399976332,0.0,232.93802600165077,0.0,1,0.10942527333293886,6.470500722268077e-05,1529.3584298919513
threading,LogisticRegression,15,2,100,100,2,8.35859719995642,0.0,184.9238359991068,0.0,1,0.139309953332607,5.136773222197411e-05,1545.7038577873345
threading,LogisticRegression,15,2,100,100,1,8.455349099996965,0.0,186.8980400023812,0.0,1,0.14092248499994942,5.191612222288367e-05,1580.2881743253308
multiprocessing,LogisticRegression,15,2,100,50,0,7.740289499983191,0.0,206.33053599989623,0.0,1,0.12900482499971985,5.7314037777748954e-05,1597.0580813259005
joblib,LogisticRegression,30,8,100,25,0,6.734832199988887,0.0,245.9761610010568,0.0,1,0.11224720333314811,6.832671138918245e-05,1656.6081695395678
multiprocessing,LogisticRegression,30,1,100,50,1,8.769547600008082,0.0,196.5285989970089,0.0,1,0.14615912666680136,5.4591277499169144e-05,1723.4669036671703
multiprocessing,LogisticRegression,30,1,100,25,0,9.670882900012655,0.0,179.16603900072215,0.0,1,0.1611813816668776,4.976834416686726e-05,1732.6937828350842
multiprocessing,LogisticRegression,15,1,100,100,1,8.780144800024573,0.0,198.1357879972445,0.0,1,0.14633574666707622,5.503771888812348e-05,1739.6609086827775
multiprocessing,LogisticRegression,30,4,100,50,0,7.112752199987881,0.0,244.70792699948367,0.0,1,0.11854586999979802,6.797442416652325e-05,1740.5468461200512
multiprocessing,LogisticRegression,30,1,100,50,2,8.932443699974101,0.0,196.18088599996364,0.0,1,0.148874061666235,5.4494690555545455e-05,1752.3747192057124
multiprocessing,LogisticRegression,15,1,100,100,2,8.742267800029367,0.0,201.07979300172383,0.0,1,0.14570446333382278,5.5855498056034396e-05,1757.8933995955408
threading,LogisticRegression,30,2,100,50,1,8.826200600015,0.0,199.32560100036636,0.0,1,0.14710334333358333,5.536822250010177e-05,1759.287739147784
ray,LogisticRegression,15,2,100,25,0,7.97919440001715,0.0,221.7906149987056,0.0,1,0.13298657333361916,6.160850416630712e-05,1769.7104331740313
threading,LogisticRegression,30,2,100,50,2,8.837726700003259,0.0,200.3303699970704,0.0,1,0.14729544500005431,5.564732499918622e-05,1770.4650597446407
multiprocessing,LogisticRegression,15,8,100,25,2,8.67588870000327,0.0,206.8276689995874,0.0,1,0.1445981450000545,5.745213027766316e-05,1794.4138363215368
joblib,LogisticRegression,15,8,100,25,2,8.83026910002809,0.0,205.4350139984673,0.0,1,0.14717115166713485,5.706528166624092e-05,1814.0464561745039
joblib,LogisticRegression,30,1,100,100,2,9.23787449998781,0.0,198.6138310006269,0.0,1,0.15396457499979685,5.517050861128525e-05,1834.7696447455799
