model,feature_count,n_rows,background_size,strategy,n_cores,median_elapsed_seconds,median_energy_joules,mean_elapsed_seconds,mean_energy_joules,std_elapsed_seconds,std_energy_joules,repeats,median_elapsed_minutes,energy_per_second,time_energy_product
LogisticRegression,15,100,100,multiprocessing,1,8.780144800024573,201.07979300172383,15.095212800020818,256.6194723321841,10.970837419845173,98.7581003642011,3,0.14633574666707622,22.90164884309893,1765.509698914103
LogisticRegression,15,100,100,joblib,8,9.910698499996217,226.41318900059605,11.731748700006088,253.8205086664358,3.179690707924742,48.25476221404921,3,0.16517830833327027,22.845331133893588,2243.9128526075674
LogisticRegression,15,100,100,ray,2,10.684473900008015,247.87776000160244,17.262370666663628,313.39843266727786,11.404489325223526,116.74446226755377,3,0.17807456500013358,23.19980958551609,2648.443457129572
LogisticRegression,15,100,100,multiprocessing,8,10.821936299966184,240.2280060029016,12.243378300006347,263.202925335218,2.852986635329976,42.57092089944797,3,0.1803656049994364,22.19824616816976,2599.7321784312953
LogisticRegression,15,100,100,threading,4,11.14044119999744,247.3929229994565,19.7366124666684,335.32382466609505,14.966648791947463,156.65595943603458,3,0.18567401999995733,22.206743750823204,2756.0663119709393
LogisticRegression,15,100,100,ray,4,11.343043200031389,255.3630669997364,13.840693200007081,300.05819033333546,4.367489004233946,78.69177231603733,3,0.18905072000052314,22.51274746084276,2896.5943006705197
LogisticRegression,15,100,100,ray,1,12.230435199977364,277.3589809982435,19.82990999999068,351.529700665848,13.191219776353956,129.11011469290938,3,0.2038405866662894,22.67776873538865,3392.2210442307705
LogisticRegression,15,100,100,threading,8,12.460077099967748,274.1871739978974,20.95599989996602,362.04270866643515,14.903193323575382,158.13064075931425,3,0.20766795166612914,22.00525500749968,3416.3933278360737
LogisticRegression,15,100,100,ray,8,14.31196150003234,325.61369599994896,15.56343080002504,353.52965699975704,2.2043088791826095,50.13254304972766,3,0.23853269166720564,22.751157903772533,4660.170681034504
LogisticRegression,30,100,25,multiprocessing,2,6.814578299992718,169.41650399753678,12.226878133330805,204.45594966489043,9.446164463076101,79.41970648264885,3,0.11357630499987863,24.860893299548383,1154.5020318022437
LogisticRegression,30,100,25,joblib,4,6.917402399994899,184.6415620003379,10.118741933333999,189.1676653330086,6.1915800591628,36.933838365642295,3,0.11529003999991498,26.692326298738102,1277.2399841199442
LogisticRegression,30,100,25,multiprocessing,4,7.518507700006012,182.54378800190847,10.268378533345336,192.85319066813665,6.47557478362396,34.257058957557696,3,0.12530846166676687,24.27925797053616,1372.4568756806138
LogisticRegression,30,100,25,joblib,2,7.704013999958988,185.84040399916708,12.2960178333063,208.95206200108734,8.4800751829003,64.18742840001087,3,0.1284002333326498,24.12254235261727,1431.7170741676175
LogisticRegression,30,100,25,serial,1,8.270380500005558,122.8680250016892,11.51385836668002,169.8664703336281,8.213914993036383,83.33480673675828,3,0.13783967500009264,14.856393245946379,1016.1653180481658
LogisticRegression,30,100,25,threading,1,8.354928400018252,140.36363600237743,11.478837666645026,173.60788633400406,8.059926559569206,77.58652006978899,3,0.13924880666697087,16.800100405656472,1172.7281287660876
