strategy,model,feature_count,n_rows,background_size,n_cores,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,repeats,time_cv_percent,energy_cv_percent
threading,SVM-RBF,15,100,25,1,93.62523793332123,69.9413595608173,1392.9866199992985,674.1968455944149,3,74.70353197994402,48.399376987178414
ray,SVM-RBF,15,100,25,1,110.56632466666633,82.4190904636432,1667.8383739998462,775.3648090952177,3,74.54266994233463,46.48920549991429
joblib,LogisticRegression,15,100,25,2,10.194296833321763,7.518676532383505,178.31635733337598,53.10679649250879,3,73.75375325355894,29.782347108639957
multiprocessing,SVM-RBF,15,100,25,2,66.70350520000405,49.11455562723258,1050.0970423327158,437.776579598044,3,73.63114648917971,41.68915461618238
threading,SVM-RBF,30,100,25,1,121.89906370001457,89.46201202142626,1792.2754396653036,868.3245429287258,3,73.39023722248292,48.44816392121515
serial,SVM-RBF,15,100,25,1,101.59128466667607,74.09170272356525,1535.8600576653625,698.6350793499199,3,72.93116035166034,45.488198997238364
serial,SVM-RBF,30,100,25,1,122.77444749998783,89.4012847717774,1791.3019893334895,880.0260848048013,3,72.81750119200191,49.12773446604851
multiprocessing,LogisticRegression,15,100,100,1,15.095212800020818,10.970837419845173,256.6194723321841,98.7581003642011,3,72.6775936529364,38.48425821574541
threading,SVM-RBF,15,100,25,8,37.33104230003664,27.018136993802386,687.3476716655387,168.69383620073742,3,72.37445120511909,24.5427231595866
ray,LogisticRegression,30,100,100,2,22.07422753336141,15.87466051045606,362.39392166722564,135.48218046641992,3,71.91490839923722,37.38533467755806
serial,LogisticRegression,15,100,25,1,8.63882583331239,6.199743283147758,128.90070900080445,60.599065710751645,3,71.76604092700624,47.012205115468724
threading,SVM-RBF,15,100,25,4,38.10716656665318,27.226539035242595,658.4872539994848,201.1602082491827,3,71.44729322139631,30.548838573166986
joblib,LogisticRegression,15,100,25,1,8.367929266688103,5.978555723631564,122.26982066667614,59.85539429756882,3,71.44605950998655,48.9535307823364
serial,LogisticRegression,30,100,25,1,11.51385836668002,8.213914993036383,169.8664703336281,83.33480673675828,3,71.339378438132,49.05900886330519
threading,LogisticRegression,15,100,100,8,20.95599989996602,14.903193323575382,362.04270866643515,158.13064075931425,3,71.1165937903996,43.67734440552054
ray,SVM-RBF,15,100,25,4,45.49730983331877,32.20545652806985,829.5571109998824,204.52640479191732,3,70.78540829349215,24.654891396856016
threading,LogisticRegression,30,100,25,1,11.478837666645026,8.059926559569206,173.60788633400406,77.58652006978899,3,70.21552872891981,44.690665676627354
threading,LogisticRegression,15,100,25,1,8.580854366688678,5.999169027954377,126.83490466662214,59.65111826855484,3,69.91342320461075,47.030522414428575
joblib,LogisticRegression,15,100,100,2,11.54279556668674,8.06445173420659,214.6316083340538,100.3032302614817,3,69.86567238079763,46.732739432008174
joblib,LogisticRegression,30,100,25,2,12.2960178333063,8.4800751829003,208.95206200108734,64.18742840001087,3,68.96602865954105,30.71873413705621
threading,LogisticRegression,15,100,25,2,16.566368466670003,11.384483017805639,232.51858033394578,116.81857537807853,3,68.72045035524933,50.24053355663122
multiprocessing,LogisticRegression,30,100,100,1,18.726238700017955,12.64325045370899,328.58251499882084,134.23828093703713,3,67.51623033458858,40.85375052215388
multiprocessing,SVM-RBF,30,100,25,4,47.90080833330285,32.09193101050255,879.1022350012632,192.42725129677405,3,66.99663769179185,21.889064051406663
